Газированный напиток POKEMON со вкусом Лайма 500мл (12) Китай УЦЕНКА
Батончики
Cadbury
Батончик Wispa 36 гр (48)
KitKat
KitKat 4 Fingers 
Kit Kat 4 Fingers Cookie Dough (Кит Кат Песочное печенье) 41,5г (24)
Батончик KitKat 4 Fingers 41,5 гр (24)
Батончик KitKat 4 Fingers Dark 41,5гр (24) 
Батончик KitKat 4 Fingers Hazelnut (Фундук) 41,5гр (24)
Батончик KitKat 4 Fingers White 41,5 гр (24)
Батончик KitKat 
Kit Kat Chunky Cookies & Cream 38г (24)*6
Kit Kat Chunky MILO ( Кит Кат Чанки Майло) 38г (24)*6
KitKat Chunky Cookie Crumble (Кит Кат Чанки Куки Крамбл в белом шоколаде) 38г (12)*20
KitKat Chunky Hazelnut Roasted (Кит Кат Чанки Фундук в молочном шоколаде) 38г (12)*20
KitKat Chunky Smooth Bitter (Кит Кат Чанки в темном шоколаде) 38г (12)*20
Батончик Kit Kat Chunky Funky Chocolate Bar 40гр (24)
Батончик KitKat 38 гр (12) Турция
Батончик KitKat Chunky 40 гр (36)
Батончик KitKat Chunky Peanut (Арахис) 42 гр (24)
Батончик KitKat Chunky White 40 гр (24)
Батончик KitKat DUO Dark & Milk Chocolate  38гр
Шоколадная фигурка KitKat
Шарики KitKat Ball в молочном шоколаде, 36 г
Lion
Батончик Lion Black White (Темный и белый шоколад) 40 гр (40)
Батончик Lion Dark Chocolate (Темный шоколад) 42гр (40) 
Батончик Lion Peanut (Арахис) 42 гр (40)
Батончик Lion White (Белый шоколад) 42 гр (40)
Milka
Батончик Milka Oreo 37 гр (36)
Reeses
Батончик Reese's White Peanut Butter Cups 39.5г (24)
Батончик Reeses Peanut Butter 42 гр (36)
Дупло
Батончик вафельный Duplo ChocoNut (Ореховый) 26гр (24)
Вафли
Hanuta
Вафли Hanuta (22 гр)
Вафли Hanuta 220 гр
Вафли Hanuta 44 гр (18)
Вафли Hanuta Minis 200 гр (12) 
Hershey's 
Вафли Hershey's Chocolate Waffle (Шоколадные) 55гр (32)
Вафли Hershey's Hazelnut Waffle (С фундуком) 55гр (32)
Вафли Hershey's Mandarin Waffle (С мандарином) 55гр (32)
Вафли Hershey's Salty Caramel Waffle (Соленая карамель) 55гр (32)
Knoppers
Вафельное печенье Storck Knoppers Crispy 25 гр (24)
Вафельное печенье Stork Knoppers Jogurt (Йогурт) 25 гр (24)
Вафли Stork Knoppers Peanut (Арахис) 25 гр (24)
Milka
Вафли Milka Choco Wafer 150 гр (14)
Вафли Milka Choco Wafer 30 гр (30)
Вафли Milka Choco Wafer Hazelnut 30 гр (30)
Nesquik
Вафли Nesquik в молочном шоколаде 18 гр (30)
Вафли Nesquik в молочном шоколаде 26,7гр (30)
Nestle 
Nestle Crispy Вафер Молочный 18гр (30)*12
Nestle Crispy вафер Молочный 27г (20)*12
Горячий шоколад
Nesquik
Nesquik Cocoa Powder (Несквик Какао Оригинал) 390г (12) банка
Какао Nesquik Shoko Hafer (Несквик с Овсяными хлопьями) 250г (14) пакет
Какао Nesquik в банке 280гр (10)
Какао Nesquik Оригинал 350гр (14) пакет 
Драже
Jelly Belly
